model,num_epochs,batch_size,hidden_channels,lr,weight_decay,mean_train_accuracy,var_train_accuracy,max_train_accuracy,max_train_accuracy_epoch,mean_val_accuracy,var_val_accuracy,max_val_accuracy,max_val_accuracy_epoch
SAGE,125,32,24,0.0005,0.003,0.686720024,0.004241421153031422,0.746667,79,0.7566316400000002,0.007120846248470395,0.842105,56
SAGE,125,32,48,0.0005,0.003,0.7013866400000002,0.0021854536917823996,0.76,118,0.7583158400000002,0.0029294697414304,0.842105,82
GCN,125,32,24,0.0005,0.003,0.6788799600000001,0.0008673633948703995,0.74,96,0.7410525679999999,0.00024820250771737606,0.789474,84
GCN,125,32,48,0.0005,0.003,0.6942399679999999,0.0012823746358389754,0.746667,116,0.7423157279999998,0.00025813155387801603,0.789474,63
GAT,125,32,24,0.0005,0.003,0.6986132719999999,0.0010469640966140152,0.746667,104,0.7486315840000001,0.0005701566454429439,0.789474,42
GAT,125,32,48,0.0005,0.003,0.7157866640000001,0.001320916599807103,0.766667,97,0.7696842400000002,0.0016249971111904002,0.842105,98
CHEV,125,32,24,0.0005,0.003,0.7011733519999999,0.002315422498468095,0.753333,82,0.7663156960000002,0.004095285377091582,0.842105,1
CHEV,125,32,48,0.0005,0.003,0.744106736,0.0018743396261623035,0.793333,100,0.8126314480000002,0.0028099698987592964,0.894737,69
EGC,125,32,24,0.0005,0.003,0.6568533360000001,0.0109088492968311,0.753333,96,0.7170526640000001,0.020993418945279115,0.894737,113
EGC,125,32,48,0.0005,0.003,0.694453328,0.0025014956564444143,0.76,88,0.7734736960000003,0.0042647775961475835,0.894737,100
SAGE,125,32,24,0.001,0.003,0.7155733360000002,0.0027043190281111035,0.78,114,0.7966315520000002,0.004846267155911298,0.894737,106
SAGE,125,32,48,0.001,0.003,0.732640024,0.0018473455622314233,0.793333,101,0.7978946720000001,0.002588361557500416,0.894737,89
GCN,125,32,24,0.001,0.003,0.703519912,0.0012178259706722547,0.753333,120,0.7456841919999999,0.00047583944122713614,0.789474,45
GCN,125,32,48,0.001,0.003,0.7115199120000001,0.0011643514675842555,0.753333,40,0.760421136,0.0006850414314455044,0.789474,35
GAT,125,32,24,0.001,0.003,0.7190399600000001,0.0011318785365823998,0.766667,120,0.7768421520000003,0.0015246536793928967,0.842105,95
GAT,125,32,48,0.001,0.003,0.7382399599999999,0.0015524585970464,0.786667,111,0.7882105280000001,0.001749092170521216,0.842105,55
CHEV,125,32,24,0.001,0.003,0.732693336,0.001948035985695103,0.793333,103,0.7995788640000003,0.002557158471669503,0.894737,103
CHEV,125,32,48,0.001,0.003,0.760426744,0.0016097790274224638,0.793333,67,0.8290525040000002,0.0021564981210819845,0.894737,54
EGC,125,32,24,0.001,0.003,0.6929600240000002,0.0064748821868714215,0.753333,5,0.7755788560000002,0.013214123599467257,0.894737,66
EGC,125,32,48,0.001,0.003,0.7161600480000002,0.001388987142045695,0.753333,43,0.8016841200000001,0.0021777652689695982,0.894737,62
SAGE,125,32,24,0.005,0.003,0.7548267439999997,0.0016162617068784637,0.793333,62,0.8176841840000002,0.0022844939509981447,0.894737,59
SAGE,125,32,48,0.005,0.003,0.7519467759999998,0.0011216368543978243,0.793333,103,0.8202104320000001,0.0018696445791573759,0.894737,72
GCN,125,32,24,0.005,0.003,0.7374400559999998,0.0010117592556848631,0.786667,118,0.7827369440000002,0.0011956123203248638,0.842105,17
GCN,125,32,48,0.005,0.003,0.7372799920000002,0.0007495791921039358,0.786667,118,0.7848421760000002,0.0013746685334250237,0.842105,16
GAT,125,32,24,0.005,0.003,0.7564266959999998,0.0010023448141475843,0.786667,69,0.786947488,0.0013675738341698566,0.842105,9
GAT,125,32,48,0.005,0.003,0.759626736,0.0008862614207223043,0.786667,59,0.786105384,0.0010966857116605439,0.842105,11
CHEV,125,32,24,0.005,0.003,0.7644800080000003,0.0013609053506319347,0.793333,58,0.8315789120000003,0.002570637659888256,0.894737,53
CHEV,125,32,48,0.005,0.003,0.7759466239999999,0.0007601003830986236,0.806667,104,0.850526328,0.0025883681932924165,0.894737,26
EGC,125,32,24,0.005,0.003,0.724746608,0.001973201125902336,0.753333,21,0.8117893360000001,0.004000609136799102,0.842105,25
EGC,125,32,48,0.005,0.003,0.7301866639999999,0.0007819187743991033,0.76,55,0.8117893360000001,0.0020061510758551033,0.842105,20
SAGE,125,48,24,0.0005,0.003,0.6644800000000001,0.004027575288927999,0.76,4,0.7397894719999999,0.00839020738946521,0.842105,76
SAGE,125,48,48,0.0005,0.003,0.6852266640000001,0.0016174819834871028,0.74,116,0.746526288,0.002587660859597056,0.842105,121
GCN,125,48,24,0.0005,0.003,0.6611200000000002,1.261205334399991e-05,0.68,124,0.7372630559999998,2.198373123686401e-05,0.789474,124
GCN,125,48,48,0.0005,0.003,0.6790399760000001,0.0008758759006154229,0.74,115,0.7397894079999997,0.00023508231518553607,0.789474,84
GAT,125,48,24,0.0005,0.003,0.6789866000000001,0.00043666098492799936,0.726667,109,0.7444210159999999,0.0004744196134557442,0.842105,119
GAT,125,48,48,0.0005,0.003,0.697919936,0.0009610044271479031,0.746667,121,0.7511579199999999,0.0006371714872416001,0.789474,45
CHEV,125,48,24,0.0005,0.003,0.6826666880000001,0.003049245752934655,0.753333,108,0.7406315359999998,0.004351292868456705,0.842105,2
CHEV,125,48,48,0.0005,0.003,0.7248533359999998,0.001780177823071104,0.786667,119,0.7886315120000001,0.002303994967625856,0.894737,112
EGC,125,48,24,0.0005,0.003,0.6234667280000002,0.011021232392550017,0.746667,15,0.6804209759999998,0.02376401289290343,0.789474,15
EGC,125,48,48,0.0005,0.003,0.666880056,0.0022107985894768627,0.753333,119,0.743157904,0.004281447506294781,0.789474,89
SAGE,125,48,24,0.001,0.003,0.6958400240000001,0.0034493611597354243,0.76,122,0.763368448,0.005479181019175293,0.842105,47
SAGE,125,48,48,0.001,0.003,0.708106648,0.001094813671604095,0.753333,106,0.7675789120000001,0.001648044456816256,0.842105,46
GCN,125,48,24,0.001,0.003,0.6876266480000001,0.0010557853514440952,0.753333,115,0.7477894239999998,0.000633621830228224,0.842105,97
GCN,125,48,48,0.001,0.003,0.7036800000000001,0.001318724373391999,0.753333,53,0.7498946799999999,0.0010041447304416,0.842105,64
GAT,125,48,24,0.001,0.003,0.7042666480000002,0.000997261314900095,0.753333,105,0.757894768,0.0010193964499061762,0.842105,56
GAT,125,48,48,0.001,0.003,0.718506664,0.0012201724009911037,0.766667,92,0.768842192,0.001103429573547136,0.842105,43
CHEV,125,48,24,0.001,0.003,0.7057066479999998,0.0017192573864360946,0.76,119,0.7667367919999999,0.003427636192484737,0.842105,52
CHEV,125,48,48,0.001,0.003,0.7490133679999997,0.0016520937040405753,0.793333,83,0.8126315120000001,0.0026326838320738554,0.894737,69
EGC,125,48,24,0.001,0.003,0.6603733360000003,0.007972477224719101,0.753333,93,0.725052664,0.015329155512415092,0.842105,95
EGC,125,48,48,0.001,0.003,0.699466648,0.0027083316068040953,0.76,91,0.7671579040000002,0.0037346943525347824,0.894737,88
SAGE,125,48,24,0.005,0.003,0.7258666560000001,0.0015634489074416635,0.793333,113,0.7936841520000003,0.0027301913405448964,0.894737,89
SAGE,125,48,48,0.005,0.003,0.73008004,0.0012036391225503991,0.786667,121,0.8071578400000003,0.002834074135462399,0.894737,104
GCN,125,48,24,0.005,0.003,0.728533336,0.0009305601323351033,0.766667,45,0.7713684160000001,0.0016888195400829441,0.842105,23
GCN,125,48,48,0.005,0.003,0.7279467039999999,0.0009398747133763831,0.766667,43,0.780631536,0.0020713968693687047,0.842105,21
GAT,125,48,24,0.005,0.003,0.7381333039999999,0.001125406930563584,0.786667,109,0.7806316320000001,0.0015395442069525763,0.842105,29
GAT,125,48,48,0.005,0.003,0.744000016,0.0010474672853917442,0.786667,112,0.7898947760000001,0.0016175453632138238,0.842105,9
CHEV,125,48,24,0.005,0.003,0.7499200719999998,0.0017028397804828147,0.793333,82,0.8046315680000001,0.002695437007845374,0.894737,82
CHEV,125,48,48,0.005,0.003,0.764853392,0.0009225819728463356,0.793333,50,0.80505264,0.0025716897543103996,0.894737,50
EGC,125,48,24,0.005,0.003,0.7045866240000002,0.0033545997158986223,0.753333,44,0.7814736480000003,0.008290566467780097,0.894737,64
EGC,125,48,48,0.005,0.003,0.7249066,0.001119386716512,0.76,52,0.8016841440000002,0.002222087563755264,0.894737,50
