model,num_conv_layers,num_linear_layers,polynomial_k_order,pooling_method,num_epochs,batch_size,hidden_channels,lr,weight_decay,mean_train_accuracy,var_train_accuracy,max_train_accuracy,max_train_accuracy_epoch,mean_val_accuracy,var_val_accuracy,max_val_accuracy,max_val_accuracy_epoch
ChebNet,2,1,2,add,150,32,48,0.005,0.003,0.8092889066666668,0.001380086909297955,0.873333,143,0.8698246733333338,0.0019093899043666227,0.894737,32
ChebNet,2,1,2,mean,150,32,48,0.005,0.003,0.76417792,0.0011683316512202662,0.786667,43,0.7926317199999999,0.0009318510759615998,0.842105,29
ChebNet,2,1,2,max,150,32,48,0.005,0.003,0.7990666866666668,0.002010684570735155,0.88,134,0.8863158200000002,0.0015911356203609334,0.947368,8
ChebNet,2,1,3,add,150,32,48,0.005,0.003,0.83062224,0.0014702785952357329,0.913333,148,0.8424561133333335,0.001901997901447156,0.894737,25
ChebNet,2,1,3,mean,150,32,48,0.005,0.003,0.7791110333333331,0.0009378741827922216,0.806667,142,0.8396491666666668,0.0026347787812188886,0.894737,66
ChebNet,2,1,3,max,150,32,48,0.005,0.003,0.8740444133333335,0.003857271046789155,0.946667,130,0.8326314,0.001036744125613333,0.894737,18
ChebNet,2,1,4,add,150,32,48,0.005,0.003,0.8433777800000001,0.0031471109282782666,0.926667,132,0.7550878666666667,0.0014399537605955558,0.842105,123
ChebNet,2,1,4,mean,150,32,48,0.005,0.003,0.8069333333333333,0.0023436311408088877,0.86,123,0.7715790666666668,0.0009909572890622225,0.842105,104
ChebNet,2,1,4,max,150,32,48,0.005,0.003,0.8998222466666668,0.004086486329759156,0.96,138,0.8357892866666666,0.0010681381732578219,0.894737,77
ChebNet,3,1,2,add,150,32,48,0.005,0.003,0.8202222333333334,0.003692097664272222,0.893333,140,0.8582457266666669,0.004947248429451956,0.894737,32
ChebNet,3,1,2,mean,150,32,48,0.005,0.003,0.7726668199999999,0.0008294838785875996,0.793333,68,0.8168420866666667,0.001688634000439155,0.894737,51
ChebNet,3,1,2,max,150,32,48,0.005,0.003,0.8236000266666665,0.0022925211710392883,0.893333,122,0.8785965666666667,0.0013646116934722225,0.947368,45
ChebNet,3,1,3,add,150,32,48,0.005,0.003,0.8292000066666667,0.0022723970625932884,0.9,147,0.8473684266666669,0.0028347220462179553,0.894737,7
ChebNet,3,1,3,mean,150,32,48,0.005,0.003,0.7801777466666667,0.0012847071321224882,0.853333,141,0.8442104866666666,0.0016945524477031556,0.894737,19
ChebNet,3,1,3,max,150,32,48,0.005,0.003,0.8644888866666666,0.004099850163233822,0.946667,146,0.8399999333333333,0.0015837477156622226,0.894737,9
ChebNet,3,1,4,add,150,32,48,0.005,0.003,0.8351555666666666,0.006084678339832222,0.946667,139,0.7491229066666667,0.0033394921662579556,0.842105,17
ChebNet,3,1,4,mean,150,32,48,0.005,0.003,0.8368000000000001,0.00354057380748,0.92,121,0.7596492333333335,0.001160362148405556,0.842105,8
ChebNet,3,1,4,max,150,32,48,0.005,0.003,0.9092888600000002,0.005909865731827065,0.986667,133,0.7926317333333335,0.0008579823306222221,0.842105,8
ChebNet,4,1,2,add,150,32,48,0.005,0.003,0.7968888466666667,0.0015915045176098219,0.86,126,0.8221054333333335,0.0027948260498988882,0.894737,45
ChebNet,4,1,2,mean,150,32,48,0.005,0.003,0.7680444599999998,0.0010638771819150659,0.793333,53,0.8326315000000002,0.00203397855961,0.894737,9
ChebNet,4,1,2,max,150,32,48,0.005,0.003,0.8384889133333333,0.0020563826616124886,0.886667,127,0.8814035933333336,0.0013734754836812898,0.947368,48
ChebNet,4,1,3,add,150,32,48,0.005,0.003,0.8535555666666668,0.005738919056858888,0.946667,149,0.7736843133333334,0.005604790171815154,0.894737,8
ChebNet,4,1,3,mean,150,32,48,0.005,0.003,0.8238222133333333,0.004167315426047821,0.913333,148,0.8259648533333334,0.0015492694422318222,0.894737,33
ChebNet,4,1,3,max,150,32,48,0.005,0.003,0.8801333266666665,0.003546945038886622,0.94,130,0.8371929533333334,0.002339671760724489,0.894737,44
ChebNet,4,1,4,add,150,32,48,0.005,0.003,0.8206222333333333,0.004239022040565555,0.926667,147,0.7536843000000001,0.001747735638103333,0.894737,33
ChebNet,4,1,4,mean,150,32,48,0.005,0.003,0.8145332999999998,0.005479745472663332,0.926667,148,0.7852631866666667,0.002567672892405155,0.894737,52
ChebNet,4,1,4,max,150,32,48,0.005,0.003,0.8679999866666667,0.007420441191186489,0.993333,130,0.77403514,0.0017930424145870664,0.894737,138
ChebNet,5,1,2,add,150,32,48,0.005,0.003,0.8375555466666668,0.0034716561739011557,0.92,149,0.8729825133333334,0.0024815006848098228,0.947368,67
ChebNet,5,1,2,mean,150,32,48,0.005,0.003,0.7748444333333332,0.0009867513324322216,0.826667,144,0.8403508466666668,0.0023791960394498224,0.894737,61
ChebNet,5,1,2,max,150,32,48,0.005,0.003,0.7732444,0.0008971776316666665,0.853333,149,0.8659649000000001,0.0015359907861300004,0.894737,9
ChebNet,5,1,3,add,150,32,48,0.005,0.003,0.8234666866666666,0.003359241046588488,0.913333,139,0.85508772,0.0022876033674816003,0.894737,13
ChebNet,5,1,3,mean,150,32,48,0.005,0.003,0.8057777933333333,0.003833873578337289,0.906667,143,0.82947358,0.0016502266194436,0.894737,49
ChebNet,5,1,3,max,150,32,48,0.005,0.003,0.79662224,0.0026825184115290652,0.886667,141,0.8470175400000001,0.0022658080773683997,0.894737,26
ChebNet,5,1,4,add,150,32,48,0.005,0.003,0.8822222000000003,0.011685718982786666,1.0,123,0.7866666866666667,0.006049352011401822,0.894737,71
ChebNet,5,1,4,mean,150,32,48,0.005,0.003,0.8516889133333333,0.006720548386639155,0.98,141,0.8098245066666666,0.0038332950688232882,0.894737,64
ChebNet,5,1,4,max,150,32,48,0.005,0.003,0.8423111466666666,0.006898955460418487,0.946667,106,0.7775439133333333,0.003440318535492488,0.894737,40
ChebNet,2,2,2,add,150,32,48,0.005,0.003,0.7669333266666666,0.0033658540776999547,0.866667,134,0.8407018666666669,0.003543739582675556,0.894737,12
ChebNet,2,2,2,mean,150,32,48,0.005,0.003,0.7645778666666666,0.0013737170035288888,0.793333,45,0.7964913333333334,0.0014281267467555557,0.894737,45
ChebNet,2,2,2,max,150,32,48,0.005,0.003,0.8213778533333334,0.0029323223202718214,0.886667,139,0.8098245999999999,0.0009524029597599996,0.842105,8
ChebNet,2,2,3,add,150,32,48,0.005,0.003,0.79022222,0.002566318425744933,0.866667,126,0.8459650066666666,0.00487892195535329,0.894737,11
ChebNet,2,2,3,mean,150,32,48,0.005,0.003,0.7535110733333332,0.0009261912233746224,0.8,145,0.8357893666666668,0.0023239141422455555,0.894737,65
ChebNet,2,2,3,max,150,32,48,0.005,0.003,0.8599555600000001,0.006022221669593065,0.953333,143,0.8375437533333333,0.0019921227112791556,0.894737,31
ChebNet,2,2,4,add,150,32,48,0.005,0.003,0.82568882,0.0030615602900409327,0.9,89,0.7996492000000001,0.0020940569209599996,0.894737,24
ChebNet,2,2,4,mean,150,32,48,0.005,0.003,0.7937333599999999,0.003568134882443732,0.88,129,0.8133332799999999,0.0019422516925215996,0.894737,62
ChebNet,2,2,4,max,150,32,48,0.005,0.003,0.9074666466666668,0.005614763913561822,0.986667,141,0.8221052666666668,0.002388543852328889,0.894737,98
ChebNet,3,2,2,add,150,32,48,0.005,0.003,0.8170222466666667,0.0019428328370124882,0.893333,126,0.8824562666666668,0.001381968482622223,0.894737,11
ChebNet,3,2,2,mean,150,32,48,0.005,0.003,0.7463110733333334,0.0007382426793879556,0.786667,143,0.8175437799999999,0.0012434482635315996,0.894737,36
ChebNet,3,2,2,max,150,32,48,0.005,0.003,0.8056888600000001,0.0016861539090137327,0.853333,145,0.8487717866666667,0.0014144722935411562,0.947368,9
ChebNet,3,2,3,add,150,32,48,0.005,0.003,0.8430222066666668,0.002838272192857288,0.913333,147,0.8452631066666667,0.0022984314962686226,0.894737,12
ChebNet,3,2,3,mean,150,32,48,0.005,0.003,0.8093778,0.0025428730746399984,0.886667,133,0.8301754533333333,0.0020368051039144886,0.894737,26
ChebNet,3,2,3,max,150,32,48,0.005,0.003,0.8658666666666665,0.0028669133334088886,0.94,149,0.8680701200000003,0.001800437954372267,0.947368,56
ChebNet,3,2,4,add,150,32,48,0.005,0.003,0.8401333466666666,0.0038041330928131555,0.946667,149,0.8122807466666667,0.0037826993610958213,0.894737,13
ChebNet,3,2,4,mean,150,32,48,0.005,0.003,0.8304444799999999,0.0048873612820496,0.913333,117,0.8217543866666666,0.0017649633034904889,0.894737,43
ChebNet,3,2,4,max,150,32,48,0.005,0.003,0.9039555666666669,0.00843916383315222,1.0,114,0.8554385200000002,0.0014104110025696002,0.894737,20
ChebNet,4,2,2,add,150,32,48,0.005,0.003,0.8008889266666668,0.002123060357601288,0.866667,146,0.8740352200000003,0.0023230583177716005,0.894737,14
ChebNet,4,2,2,mean,150,32,48,0.005,0.003,0.7657778266666666,0.001077730852423288,0.8,147,0.8340349933333334,0.0016153866822332889,0.894737,79
ChebNet,4,2,2,max,150,32,48,0.005,0.003,0.7576444666666666,0.0021778606775822223,0.806667,134,0.8592983066666668,0.003637932551332622,0.894737,28
ChebNet,4,2,3,add,150,32,48,0.005,0.003,0.8328888866666667,0.0035008403931538214,0.926667,140,0.8673684866666668,0.0022796020402898226,0.894737,12
ChebNet,4,2,3,mean,150,32,48,0.005,0.003,0.7811555800000001,0.001487850471963599,0.846667,137,0.8649122533333335,0.0017143846156158226,0.947368,125
ChebNet,4,2,3,max,150,32,48,0.005,0.003,0.8253777533333333,0.004862637458039155,0.946667,143,0.8708772600000003,0.0019792005634057335,0.947368,117
ChebNet,4,2,4,add,150,32,48,0.005,0.003,0.8368000266666665,0.0058558356077726215,0.96,145,0.8042106066666667,0.00650489041114529,0.894737,11
ChebNet,4,2,4,mean,150,32,48,0.005,0.003,0.8262222133333335,0.005759803765007822,0.913333,124,0.8487718533333334,0.002005421395431822,0.947368,135
ChebNet,4,2,4,max,150,32,48,0.005,0.003,0.8370221999999999,0.00599320156648,0.92,122,0.8371928933333334,0.0019333942368019552,0.894737,35
ChebNet,5,2,2,add,150,32,48,0.005,0.003,0.8019999666666666,0.0011708140297122217,0.846667,90,0.8821053933333335,0.0013547591889319557,0.894737,6
ChebNet,5,2,2,mean,150,32,48,0.005,0.003,0.7574666666666666,0.0006078044445022222,0.786667,131,0.8249122,0.00116330210656,0.894737,28
ChebNet,5,2,2,max,150,32,48,0.005,0.003,0.7664888666666668,0.001972709927968889,0.793333,72,0.8659649533333336,0.004232203495017823,0.894737,10
ChebNet,5,2,3,add,150,32,48,0.005,0.003,0.8647555466666665,0.004262126968567821,0.96,149,0.8607017333333334,0.001814841952648889,0.947368,88
ChebNet,5,2,3,mean,150,32,48,0.005,0.003,0.7861777733333334,0.001728648835228621,0.853333,135,0.8729825066666668,0.0017797565350899562,0.947368,115
ChebNet,5,2,3,max,150,32,48,0.005,0.003,0.8317777800000001,0.0034995080761182668,0.906667,136,0.8617543533333333,0.0016453163578151553,0.894737,7
ChebNet,5,2,4,add,150,32,48,0.005,0.003,0.8096000133333334,0.004583394588519822,0.926667,140,0.8042106200000001,0.004805898180675599,0.894737,13
ChebNet,5,2,4,mean,150,32,48,0.005,0.003,0.8533333,0.00694992465193,0.973333,136,0.8547368200000002,0.0025366593950676003,0.947368,99
ChebNet,5,2,4,max,150,32,48,0.005,0.003,0.8627999799999998,0.007133786660219599,0.986667,144,0.862806986666667,0.0025077263261864893,0.947368,79
